id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C
1,FNC18,23227.92363,507.8,100,1200,750,450,4.74E-02,4.01E-03,3.79E-03,0.14953635,1.60E-12,0.55520773,1.42E-12,1.79E-02,1.98E-02,0.20217747,1.98E-04,7.60E-12,1.54E-12,3.23E-12,5.81E-12,4.23E-12,5.224
2,FNC19,22255.47985,56.9,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
3,FNC19,22324.07795,66.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
4,FNC19,21799.75166,20.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
5,FNC31,23449.2044,835.6,100,1200,750,450,4.84E-02,7.22E-04,8.82E-04,0.15043371,1.52E-12,0.56031134,1.01E-04,1.80E-02,1.81E-02,0.20110098,2.78E-12,4.66E-12,2.08E-03,3.89E-12,7.71E-12,2.64E-12,20.522
6,FNC21,22713.42418,159.5,100,1200,750,450,5.10E-02,7.61E-04,1.78E-03,0.15089553,1.17E-12,0.58106646,1.14E-12,8.52E-03,6.61E-03,0.19917268,1.95E-04,6.33E-12,1.09E-12,1.11E-12,1.12E-12,3.14E-12,3.713
7,FNC22,22094.44218,39.6,100,1200,750,450,5.10E-02,1.02E-04,9.16E-05,0.15086589,1.08E-12,0.58151181,1.13E-12,8.77E-03,8.23E-03,0.19945686,1.16E-12,1.84E-12,1.11E-12,1.31E-12,2.18E-12,1.40E-12,89.847
8,FNC15,21918.75647,336.5,170,1200,700,500,9.66E-13,1.05E-04,4.72E-05,0.20052911,9.57E-13,0.47884186,1.04E-12,9.57E-13,1.92E-02,0.30127449,9.58E-13,2.17E-12,9.57E-13,9.57E-13,9.57E-13,1.24E-12,406.78
9,FNC15,22684.95502,149.6,100,1200,750,450,9.61E-13,1.05E-04,4.72E-05,0.20052911,9.58E-13,0.47884186,1.02E-12,9.58E-13,1.92E-02,0.30127449,9.58E-13,1.20E-12,9.58E-13,9.58E-13,9.58E-13,9.89E-13,406.78
10,FNC16,22871.58238,227.7,100,1200,750,450,4.91E-02,1.53E-03,9.19E-05,0.20078221,1.17E-12,0.42839405,1.09E-12,1.17E-12,2.00E-02,0.30010471,1.18E-12,2.05E-12,1.18E-12,1.18E-12,1.22E-12,1.46E-12,217.628
11,FNC29,21667.32637,185.6,170,1200,700,500,1.01E-12,5.23E-05,4.71E-05,0.19980924,9.40E-13,0.47412119,1.03E-12,9.46E-13,2.00E-02,0.3017139,4.23E-03,2.44E-12,9.46E-13,9.91E-13,9.40E-13,1.37E-12,424.628
12,FNC29,22605.84923,125.2,100,1200,750,450,9.44E-13,5.23E-05,4.71E-05,0.19980924,9.40E-13,0.47412119,1.01E-12,9.40E-13,2.00E-02,0.3017139,4.23E-03,1.37E-12,9.40E-13,9.40E-13,9.40E-13,1.05E-12,424.628
13,FNC33,23538.84212,1022.4,100,1200,750,450,9.96E-13,1.05E-04,1.41E-04,0.19986007,9.82E-13,0.47908868,1.05E-12,9.73E-13,1.77E-02,0.30125114,2.02E-04,9.95E-13,9.82E-13,9.75E-13,6.37E-12,1.61E-03,125.532
14,FNC35,23238.12953,519.6,100,1200,750,450,5.69E-02,6.56E-04,1.82E-03,0.14394281,1.04E-12,0.53867817,1.89E-03,7.11E-03,3.35E-03,0.24156294,3.69E-03,4.51E-12,1.07E-12,4.45E-04,1.08E-12,2.88E-12,1.841
15,HTUPS10,23419.06822,780.8,100,1200,750,450,5.99E-02,5.59E-04,3.98E-03,0.15198578,4.15E-03,0.54537641,1.94E-02,1.15E-02,8.75E-03,0.18774323,2.54E-03,1.26E-03,1.43E-12,2.90E-03,3.47E-12,2.53E-12,2.198
16,H12-GE,24345.5249,6283,100,1250,750,500,7.57E-02,3.53E-04,3.94E-03,0.12848286,4.28E-03,0.55518016,1.98E-02,1.16E-02,3.69E-03,0.1905491,2.71E-03,6.82E-04,1.47E-12,3.05E-03,4.34E-12,9.60E-12,0.937
17,H12-GE,22998.22246,302.8,170,1150,750,400,7.57E-02,3.53E-04,3.94E-03,0.12848286,4.28E-03,0.55518016,1.98E-02,1.16E-02,3.69E-03,0.1905491,2.71E-03,6.82E-04,1.47E-12,3.05E-03,4.34E-12,9.69E-12,0.937
18,AFA1,21312.47097,1231.5,250,1250,650,600,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,2.49E-11,2.28E-12,2.96E-03,1.08E-11,1.76E-11,1.306
19,AFA1,23703.92758,1482.5,100,1250,750,500,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,9.30E-12,1.21E-12,2.96E-03,2.95E-12,6.63E-12,1.306
20,AFA1,24287.65827,431.8,70,1250,800,450,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,8.74E-12,1.15E-12,2.96E-03,2.45E-12,6.16E-12,1.306
21,AFA1,22852.44475,218.1,170,1250,750,500,5.84E-02,3.55E-04,4.57E-03,0.15034512,4.06E-03,0.5517822,1.93E-02,1.14E-02,5.97E-03,0.18810366,2.74E-03,9.30E-12,1.21E-12,2.96E-03,2.95E-12,6.63E-12,1.306
22,AFA2,22734.63635,167.3,170,1250,750,500,5.82E-02,2.54E-04,4.57E-03,0.15044512,4.06E-03,0.54863593,1.94E-02,1.15E-02,6.03E-03,0.18847082,2.74E-03,9.18E-12,2.80E-03,2.93E-03,3.14E-12,6.41E-12,1.319
23,AFA3,22566.54586,114.6,170,1250,750,500,5.94E-02,3.04E-04,5.02E-03,0.15130997,4.06E-03,0.54950558,1.93E-02,1.15E-02,6.02E-03,0.18799066,2.54E-03,1.05E-11,1.21E-12,2.98E-03,1.17E-04,7.74E-12,1.199
24,AFA5,23713.29811,1514.1,100,1250,750,500,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.15E-11,1.32E-12,2.93E-03,3.16E-12,7.95E-12,1.305
25,AFA5,22718.40996,161.3,170,1250,750,500,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.15E-11,1.32E-12,2.93E-03,3.16E-12,7.95E-12,1.305
26,AFA5,24330.9135,473.8,70,1250,800,450,7.88E-02,3.52E-04,4.53E-03,0.12500956,4.11E-03,0.558893,1.91E-02,1.13E-02,5.91E-03,0.18628471,2.71E-03,1.09E-11,1.23E-12,2.93E-03,2.57E-12,7.44E-12,1.305
27,AFA6,23636.41393,1273.5,100,1250,750,500,7.81E-02,3.53E-04,4.54E-03,0.12487691,4.12E-03,0.51091519,1.94E-02,1.14E-02,5.99E-03,0.23465529,2.72E-03,1.12E-11,1.38E-12,2.97E-03,2.83E-12,7.60E-12,1.319
28,AFA6,22536.88927,107.2,170,1250,750,500,7.81E-02,3.53E-04,4.54E-03,0.12487691,4.12E-03,0.51091519,1.94E-02,1.14E-02,5.99E-03,0.23465529,2.72E-03,1.12E-11,1.38E-12,2.97E-03,2.83E-12,7.60E-12,1.319
29,AFA8,22361.89848,72.3,170,1250,750,500,7.83E-02,3.03E-04,4.55E-03,0.12447449,4.13E-03,0.50927579,1.95E-02,1.14E-02,6.06E-03,0.23479297,2.72E-03,4.83E-12,1.43E-12,3.00E-03,2.82E-12,1.44E-03,1.332
30,AFA9,22614.63329,127.7,170,1250,750,500,7.92E-02,4.03E-04,4.99E-03,0.1247513,4.12E-03,0.50947405,1.94E-02,1.14E-02,5.98E-03,0.23441926,2.72E-03,1.28E-11,1.39E-12,2.94E-03,1.47E-04,9.10E-12,1.198
31,AFA10,23170.36916,446.1,100,1200,750,450,5.89E-02,2.52E-04,1.86E-03,0.14593216,1.04E-12,0.47910029,1.99E-02,7.11E-03,3.53E-03,0.27996808,3.50E-03,4.61E-12,1.12E-12,1.13E-12,1.13E-12,2.99E-12,1.898
32,AFA11,21537.29925,11.3,170,1250,750,500,8.08E-02,5.04E-04,4.54E-05,0.12582471,4.29E-03,0.55976389,1.98E-02,1.14E-02,5.87E-03,0.18578922,2.91E-03,2.07E-12,1.68E-12,2.97E-03,3.79E-12,1.97E-12,129.295
33,AFA12,22752.08188,174,170,1250,750,500,8.04E-02,5.02E-04,6.77E-03,0.12516026,4.27E-03,0.55536103,1.97E-02,1.13E-02,5.84E-03,0.18480812,2.90E-03,1.94E-11,1.50E-12,2.95E-03,3.14E-12,1.48E-11,0.863
34,AFA16,22901.57086,243.6,100,1200,750,450,9.86E-02,4.90E-05,1.32E-03,0.10086879,1.53E-12,0.56388742,1.35E-03,1.87E-12,3.32E-12,0.22557641,8.11E-03,2.23E-12,1.48E-12,2.51E-12,9.53E-05,1.74E-04,0
35,AFA21,23327.93663,636,100,1250,750,500,6.11E-02,6.06E-04,9.10E-03,0.15697414,1.61E-12,0.48955288,1.91E-02,1.15E-02,1.48E-02,0.23420382,2.92E-03,9.74E-12,1.29E-12,1.71E-12,8.60E-05,6.04E-12,1.626
36,AFA23,21147.73556,816.5,250,1200,650,550,7.04E-02,5.02E-04,4.52E-03,0.14606613,4.27E-03,0.50648034,1.97E-02,5.65E-03,5.84E-03,0.23108264,2.90E-03,5.67E-04,5.32E-04,1.48E-03,8.08E-12,1.14E-11,1.292
37,AFA23,23158.25435,434.1,100,1200,750,450,7.04E-02,5.02E-04,4.52E-03,0.14606613,4.27E-03,0.50648034,1.97E-02,5.65E-03,5.84E-03,0.23108264,2.90E-03,5.67E-04,5.32E-04,1.48E-03,2.06E-12,6.26E-12,1.292
38,AFA23,22994.24311,300.1,100,1200,750,450,7.04E-02,5.02E-04,4.52E-03,0.14606613,4.27E-03,0.50648034,1.97E-02,5.65E-03,5.84E-03,0.23108264,2.90E-03,5.67E-04,5.32E-04,1.48E-03,2.06E-12,6.26E-12,1.292
39,AFA24,21115.92007,754.2,250,1200,650,550,6.98E-02,4.98E-04,4.48E-03,0.14498728,4.24E-03,0.51720264,1.96E-02,2.33E-12,5.80E-03,0.22937586,2.88E-03,5.62E-04,5.29E-04,2.87E-12,2.47E-12,8.66E-12,1.295
40,AFA24,23136.00932,412.9,100,1200,750,450,6.98E-02,4.98E-04,4.48E-03,0.14498728,4.24E-03,0.51720264,1.96E-02,1.28E-12,5.80E-03,0.22937586,2.88E-03,5.62E-04,5.29E-04,1.31E-12,1.35E-12,3.84E-12,1.295
41,AFA24,22962.17147,279.2,100,1200,750,450,6.98E-02,4.98E-04,4.48E-03,0.14498728,4.24E-03,0.51720264,1.96E-02,1.28E-12,5.80E-03,0.22937586,2.88E-03,5.62E-04,5.29E-04,1.31E-12,1.35E-12,3.84E-12,1.295
42,AFA25,22978.72664,289.8,100,1200,750,450,7.05E-02,5.03E-04,4.53E-03,0.14634966,4.28E-03,0.50259713,1.98E-02,5.67E-03,8.78E-03,0.2315312,2.90E-03,5.68E-04,5.34E-04,1.48E-03,2.20E-12,4.37E-12,1.938
43,AFA25,22857.91105,220.8,100,1200,750,450,7.05E-02,5.03E-04,4.53E-03,0.14634966,4.28E-03,0.50259713,1.98E-02,5.67E-03,8.78E-03,0.2315312,2.90E-03,5.68E-04,5.34E-04,1.48E-03,2.20E-12,4.37E-12,1.938
44,AFA26,23195.53678,472.1,100,1200,750,450,6.06E-02,5.04E-04,4.54E-03,0.15720313,4.29E-03,0.50387899,1.98E-02,5.68E-03,5.87E-03,0.23212171,2.91E-03,5.69E-04,5.35E-04,1.48E-03,1.74E-12,5.17E-12,1.293
45,AFA26,22747.20383,172.1,100,1200,750,450,6.06E-02,5.04E-04,4.54E-03,0.15720313,4.29E-03,0.50387899,1.98E-02,5.68E-03,5.87E-03,0.23212171,2.91E-03,5.69E-04,5.35E-04,1.48E-03,1.74E-12,5.17E-12,1.293
46,AFA27,21285.75543,1152.1,250,1200,650,550,6.88E-02,3.01E-04,4.06E-03,0.14397128,4.10E-03,0.50853018,1.91E-02,2.13E-12,1.44E-02,0.2331029,2.70E-03,5.66E-04,4.26E-04,2.41E-12,2.96E-12,8.28E-12,3.547
47,AFA27,22766.64985,179.8,100,1200,750,450,6.88E-02,3.01E-04,4.06E-03,0.14397128,4.10E-03,0.50853018,1.91E-02,1.39E-12,1.44E-02,0.2331029,2.70E-03,5.66E-04,4.26E-04,1.31E-12,2.09E-12,4.70E-12,3.547
48,AFA28,21283.10238,1144.5,250,1200,650,550,6.95E-02,1.50E-04,8.55E-03,0.14414096,4.08E-03,0.50465391,1.88E-02,3.08E-12,1.45E-02,0.2319236,2.69E-03,5.64E-04,4.24E-04,3.65E-12,2.97E-12,5.92E-05,1.696
49,AFA28,22565.38129,114.3,100,1200,750,450,6.95E-02,1.50E-04,8.55E-03,0.14414096,4.08E-03,0.50465391,1.88E-02,1.53E-12,1.45E-02,0.2319236,2.69E-03,5.64E-04,4.24E-04,1.45E-12,1.76E-12,5.92E-05,1.696
50,AFA29,21221.67808,981.9,250,1200,650,550,6.80E-02,1.51E-04,8.59E-03,0.14413174,4.02E-03,0.49784615,1.91E-02,5.72E-03,1.46E-02,0.23382536,2.90E-03,5.67E-04,5.33E-04,3.89E-12,5.33E-12,5.95E-05,1.7
51,AFA29,22730.90285,165.9,100,1200,750,450,6.80E-02,1.51E-04,8.59E-03,0.14413174,4.02E-03,0.49784615,1.91E-02,5.72E-03,1.46E-02,0.23382536,2.90E-03,5.67E-04,5.33E-04,1.31E-12,1.61E-12,5.95E-05,1.7
52,AFA30,21204.06906,939.7,250,1200,650,550,4.86E-02,3.05E-04,4.25E-03,0.14576316,1.29E-12,0.57047142,1.92E-02,1.40E-02,5.43E-03,0.18823644,2.74E-03,4.58E-04,5.39E-04,2.96E-12,3.88E-12,5.74E-12,1.278
53,AFA31,21125.27077,772,250,1200,650,550,4.89E-02,3.52E-04,4.16E-03,0.14414694,1.19E-12,0.5884787,1.86E-02,1.19E-12,5.38E-03,0.18628416,2.71E-03,5.67E-04,4.26E-04,1.15E-12,1.17E-12,4.64E-12,1.293
54,HMA18,20609.84645,213.4,250,1200,650,550,4.82E-02,3.01E-04,4.06E-03,0.14547253,2.40E-02,0.60889353,4.61E-02,1.18E-12,3.50E-03,0.11566899,2.70E-03,5.66E-04,5.32E-04,1.20E-12,1.22E-12,1.40E-11,0.862
55,HMA18,23012.65788,312.8,100,1200,750,450,4.82E-02,3.01E-04,4.06E-03,0.14547253,2.40E-02,0.60889353,4.61E-02,1.13E-12,3.50E-03,0.11566899,2.70E-03,5.66E-04,5.32E-04,1.11E-12,1.12E-12,1.28E-11,0.862
56,OC-1,23436.25691,811.6,100,1200,750,450,6.05E-02,3.06E-04,4.32E-03,0.1498786,4.34E-03,0.53751933,1.96E-02,1.16E-02,1.47E-02,0.19024211,2.75E-03,5.76E-04,5.42E-04,3.03E-03,4.59E-12,3.73E-12,3.403
57,OC-2,21636.27848,2762.2,200,1200,650,550,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,1.06E-11,6.24E-12,3.255
58,OC-2,21404.0809,1547.7,250,1200,650,550,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,1.06E-11,6.24E-12,3.255
59,OC-2,21074.99478,681,300,1200,650,550,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,1.06E-11,6.24E-12,3.255
60,OC-2,21993.17549,401.3,170,1200,700,500,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,5.06E-12,3.13E-12,3.255
61,OC-2,21151.83348,54.8,200,1200,700,500,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,5.06E-12,3.13E-12,3.255
62,OC-2,23361.62433,686.1,100,1200,750,450,5.99E-02,3.57E-04,1.84E-03,0.1494729,4.16E-03,0.50240832,1.97E-02,1.15E-02,5.99E-03,0.23761273,2.94E-03,5.76E-04,5.41E-04,3.03E-03,3.45E-12,2.20E-12,3.255
63,OC-3,23273.92789,563.2,100,1200,750,450,7.90E-02,3.03E-04,3.77E-03,0.12409289,4.21E-03,0.55327343,1.94E-02,1.14E-02,8.86E-03,0.18865313,2.91E-03,5.70E-04,5.35E-04,3.00E-03,3.78E-12,4.22E-12,2.35
64,OC-4,21080.3158,690.1,250,1200,650,550,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,1.39E-11,1.36E-11,3.525
65,OC-4,21788.09414,247,170,1200,700,500,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,6.84E-12,7.30E-12,3.525
66,OC-4,21555.9583,142.6,200,1200,700,500,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,6.84E-12,7.30E-12,3.525
67,OC-4,23312.87474,614.8,100,1200,750,450,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,3.78E-12,4.35E-12,3.525
68,OC-4,22360.66778,72.1,130,1200,750,450,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,3.78E-12,4.35E-12,3.525
69,OC-4,21741.66865,17.9,170,1200,750,450,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,3.78E-12,4.35E-12,3.525
70,OC-4,23647.86559,109.4,70,1200,800,400,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,2.88E-12,3.46E-12,3.525
71,OC-4,20533.97242,176.6,250,1100,650,450,7.08E-02,3.05E-04,4.17E-03,0.14690038,4.33E-03,0.48444214,1.94E-02,1.15E-02,1.47E-02,0.23638076,2.94E-03,5.75E-04,5.40E-04,2.99E-03,1.37E-11,1.33E-11,3.525
72,OC-4-#2 (//TD),21024.56751,600.5,250,1200,650,550,7.21E-02,6.30E-12,4.58E-03,0.15005129,4.41E-03,0.47897217,1.98E-02,1.13E-02,1.47E-02,0.23730034,2.54E-03,5.74E-04,5.40E-04,2.99E-03,1.04E-11,1.05E-11,3.21
73,OC-5,21288.39104,1159.7,250,1100,650,450,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,1.02E-11,1.19E-11,1.281
74,OC-5,22616.02276,128.1,100,1100,750,350,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,2.61E-12,4.56E-12,1.281
75,OC-5,23804.47838,153.1,70,1100,800,300,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,2.11E-12,4.26E-12,1.281
76,OC-5,23034.95634,328.9,130,1200,750,450,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,2.61E-12,4.53E-12,1.281
77,OC-5,24473.28284,643.1,70,1200,800,400,6.05E-02,4.58E-04,4.67E-03,0.14694755,4.24E-03,0.50197179,1.99E-02,1.15E-02,5.98E-03,0.23705304,2.74E-03,5.74E-04,5.40E-04,2.90E-03,2.11E-12,4.22E-12,1.281
78,OC-6,21375.47467,1441.1,250,1100,650,450,7.06E-02,4.01E-04,4.29E-03,0.14655111,4.27E-03,0.50370237,1.95E-02,9.61E-04,1.37E-02,0.23176408,2.70E-03,5.66E-04,5.32E-04,4.42E-04,3.12E-12,9.61E-12,3.193
79,OC-6,23130.16055,407.5,100,1100,750,350,7.06E-02,4.01E-04,4.29E-03,0.14655111,4.27E-03,0.50370237,1.95E-02,9.61E-04,1.37E-02,0.23176408,2.70E-03,5.66E-04,5.32E-04,4.42E-04,2.00E-12,4.75E-12,3.193
80,OC-7,20742.3542,297,250,1200,650,550,7.15E-02,4.58E-04,4.85E-03,0.14883511,4.32E-03,0.48318127,1.99E-02,1.13E-02,1.40E-02,0.23468732,2.15E-03,5.74E-04,5.39E-04,2.90E-03,1.29E-11,7.83E-04,2.887
81,OC-7,22549.55475,110.3,100,1200,750,450,7.15E-02,4.58E-04,4.85E-03,0.14883511,4.32E-03,0.48318127,1.99E-02,1.13E-02,1.40E-02,0.23468732,2.15E-03,5.74E-04,5.39E-04,2.90E-03,3.89E-12,7.83E-04,2.887
82,OC-10,20697.41156,265.5,250,1100,650,450,5.05E-02,4.52E-04,4.88E-03,0.14663342,2.65E-02,0.58090409,6.91E-02,8.48E-04,5.72E-03,0.1102145,2.70E-03,5.67E-04,5.33E-04,4.43E-04,1.45E-12,7.68E-12,1.172
